City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,saint-pierre,-21.3393,55.4781,24.220000000000027,78,0,2.06,RE,1675822186
240,ambon,-3.6954,128.1814,31.480000000000018,66,40,3.09,ID,1675822511
241,bondo,3.8146,23.6866,19.019999999999982,33,35,1.54,CD,1675822511
242,siderno,38.2779,16.302,4.589999999999975,65,37,4.06,IT,1675822512
243,camana,-16.6228,-72.7111,23.50999999999999,83,84,3.18,PE,1675822512
244,barrow,71.2906,-156.7887,-17.589999999999975,78,100,2.57,US,1675822144
245,alta floresta,-9.8756,-56.0861,21.279999999999973,97,99,0.94,BR,1675822245
246,matamoros,25.5333,-103.25,22.45999999999998,17,40,1.03,MX,1675822316
247,murray bridge,-35.1167,139.2667,32.370000000000005,26,0,1.8,AU,1675822513
248,gorontalo,0.5412,123.0595,22.75,94,100,2.41,ID,1675822018
249,half moon bay,37.4636,-122.4286,13.470000000000027,73,0,6.17,US,1675822039
250,veraval,20.9,70.3667,20.24000000000001,59,9,3.59,IN,1675822286
251,date,42.4681,140.8681,-3.490000000000009,76,100,1.97,JP,1675822514
252,vaitape,-16.5167,-151.75,26.689999999999998,72,24,5.38,PF,1675822514
253,rocky mountain house,52.3668,-114.9188,-3.5400000000000205,80,100,1.03,CA,1675822456
254,jiaojiang,28.6803,121.4428,8.839999999999975,71,100,3.0,CN,1675822515
255,codrington,-38.2667,141.9667,18.30000000000001,60,87,6.87,AU,1675822249
256,aklavik,68.2191,-135.0107,-29.669999999999987,95,100,3.57,CA,1675822173
257,bozhou,33.8772,115.7703,8.75,60,98,5.25,CN,1675822515
258,katsuura,35.1333,140.3,10.410000000000025,71,98,8.08,JP,1675822200
259,marzuq,14.4,46.4667,15.720000000000027,55,6,2.11,YE,1675822516
260,dingle,10.9995,122.6711,26.04000000000002,78,100,5.64,PH,1675822358
261,hattiesburg,31.3271,-89.2903,16.74000000000001,97,100,0.0,US,1675822516
262,saint-francois,46.4154,3.9054,-5.220000000000027,93,1,0.0,FR,1675822257
263,parintins,-2.6283,-56.7358,22.819999999999993,96,100,0.84,BR,1675822322
264,mehamn,71.0357,27.8492,1.3700000000000045,75,20,10.29,NO,1675822517
265,puerto ayacucho,5.6639,-67.6236,26.779999999999973,61,80,1.03,VE,1675822517
266,cap-aux-meules,47.3821,-61.8597,-5.569999999999993,68,0,6.69,CA,1675822518
267,deputatskiy,69.3,139.9,-42.5,98,55,1.7,RU,1675822518
268,ternate,0.8,127.4,24.319999999999993,91,100,4.78,ID,1675822519
269,san cristobal,7.7669,-72.225,20.5,78,12,0.74,VE,1675822156
270,cangucu,-31.395,-52.6756,18.100000000000023,78,0,3.28,BR,1675822519
271,saldanha,-33.0117,17.9442,17.189999999999998,89,0,5.9,ZA,1675822108
272,torbay,47.6666,-52.7314,-4.170000000000016,87,100,8.94,CA,1675822169
273,tateyama,34.9833,139.8667,10.569999999999993,71,100,6.65,JP,1675822520
274,ballina,-28.8667,153.5667,27.189999999999998,66,100,3.74,AU,1675822520
275,aripuana,-9.1667,-60.6333,21.569999999999993,99,32,0.87,BR,1675822521
276,yanji,42.9075,129.5078,-5.860000000000014,52,3,5.61,CN,1675822521
277,mpanda,-6.3655,31.0409,16.879999999999995,95,92,0.63,TZ,1675822522
278,rawson,-43.3002,-65.1023,18.05000000000001,60,3,2.85,AR,1675822522
279,srednekolymsk,67.45,153.6833,-33.5,96,100,2.39,RU,1675822287
280,adrar,20.5022,-10.0711,14.939999999999998,23,100,4.91,MR,1675822196
281,sinnamary,5.3833,-52.95,23.430000000000007,91,65,4.34,GF,1675822523
282,igunga,-4.2833,33.8833,17.279999999999973,91,38,0.75,TZ,1675822524
283,cayenne,4.9333,-52.3333,24.420000000000016,94,75,1.54,GF,1675822524
284,hohhot,40.8106,111.6522,-3.4399999999999977,50,0,4.0,CN,1675822525
285,coquimbo,-29.9533,-71.3436,17.25,88,75,2.06,CL,1675822433
286,general roca,-39.0333,-67.5833,25.30000000000001,20,1,8.95,AR,1675822240
287,brae,60.3964,-1.353,6.149999999999977,73,100,14.0,GB,1675822334
288,west wendover,40.7391,-114.0733,-0.040000000000020464,75,0,0.0,US,1675822526
289,zhezkazgan,47.8043,67.7144,-15.610000000000014,85,100,3.0,KZ,1675822429
290,lagoa,39.05,-27.9833,12.579999999999984,56,100,6.4,PT,1675822061
291,cacapava,-23.1008,-45.7069,19.629999999999995,99,100,0.35,BR,1675822424
292,zaysan,47.4667,84.8667,-12.509999999999991,86,97,1.62,KZ,1675822528
293,auki,-8.7676,160.7034,28.0,77,100,2.79,SB,1675822528
294,valdivia,-39.8142,-73.2459,14.449999999999989,72,0,1.13,CL,1675822529
295,acatlan,20.15,-98.45,11.430000000000007,54,2,1.93,MX,1675822530
296,bang saphan,11.2126,99.5117,27.45999999999998,60,2,0.05,TH,1675822530
297,isangel,-19.55,169.2667,29.45999999999998,79,100,1.54,VU,1675822355
298,novyy svit,47.8059,38.0211,-7.269999999999982,66,31,7.79,UA,1675822531
299,hamilton,39.1834,-84.5333,11.199999999999989,91,100,3.6,US,1675822359
300,champerico,14.3,-91.9167,25.319999999999993,70,7,2.94,GT,1675822531
301,mirpur khas,25.5251,69.0159,16.810000000000002,49,0,4.3,PK,1675822532
302,lakatoro,-16.0999,167.4164,27.430000000000007,71,100,1.12,VU,1675822532
303,kunming,25.0389,102.7183,11.360000000000014,58,0,7.0,CN,1675822533
304,bukid,5.5717,125.4056,26.589999999999975,69,90,1.31,PH,1675822533
305,santa barbara,34.7333,-120.0343,12.339999999999975,68,0,2.57,US,1675822533
306,lompoc,34.6391,-120.4579,13.480000000000018,84,0,3.58,US,1675822169
307,key west,24.5557,-81.7826,23.29000000000002,76,57,4.02,US,1675822177
308,wajima,37.4,136.9,3.7799999999999727,100,75,1.03,JP,1675822535
309,krasnoselkup,65.7,82.4667,-29.78,100,100,3.19,RU,1675822192
310,samarai,-10.6167,150.6667,27.470000000000027,76,100,5.62,PG,1675822537
311,havre-saint-pierre,50.2334,-63.5986,-10.019999999999982,79,100,5.61,CA,1675822239
312,marienburg,54.0359,19.0266,-1.2300000000000182,88,93,2.76,PL,1675822202
313,riyadh,24.6877,46.7219,11.480000000000018,42,21,2.12,SA,1675822538
314,nuuk,64.1835,-51.7216,-14.0,78,100,2.24,GL,1675822484
315,noshiro,40.2039,140.0242,-0.13999999999998636,56,87,1.3,JP,1675822538
316,mount isa,-20.7333,139.5,31.269999999999982,58,40,4.12,AU,1675822149
317,lasa,46.6166,10.7002,-4.480000000000018,79,30,0.23,IT,1675822539
318,komsomolskiy,40.4272,71.7189,-0.19999999999998863,80,99,3.09,UZ,1675822133
319,boyolangu,-8.1181,111.8935,23.850000000000023,88,100,2.6,ID,1675822539
320,cockburn town,21.4612,-71.1419,24.899999999999977,74,0,10.39,TC,1675822540
321,vikramasingapuram,8.714,77.3893,22.110000000000014,81,50,0.9,IN,1675822540
322,umm lajj,25.0213,37.2685,15.670000000000016,57,93,4.29,SA,1675822541
323,tuatapere,-46.1333,167.6833,12.879999999999995,58,67,6.89,NZ,1675822129
324,urumqi,43.801,87.6005,-9.069999999999993,93,75,2.0,CN,1675822541
325,kaitangata,-46.2817,169.8464,14.350000000000023,49,11,6.88,NZ,1675822205
326,tshikapa,-6.4167,20.8,19.129999999999995,93,99,0.47,CD,1675822542
327,namanyere,-7.5167,31.05,14.769999999999982,90,100,1.24,TZ,1675822542
328,berlevag,70.8578,29.0864,1.3999999999999773,80,20,10.29,NO,1675822189
329,port hardy,50.6996,-127.4199,3.5,93,75,2.57,CA,1675822155
